fold,Arm,Model,Feature,Kind,Importance_raw,Importance_share,Rank
1,Structured,Logistic,bc_open_to_buy,structured,0.042763,0.015012,25
1,Structured,Logistic,bc_util,structured,0.0,0.0,50
1,Structured,Logistic,chargeoff_within_12_mths,structured,0.079999,0.028083,10
1,Structured,Logistic,delinq_amnt,structured,0.520057,0.182563,1
1,Structured,Logistic,dti,structured,0.090284,0.031694,8
1,Structured,Logistic,inq_last_6mths,structured,0.0,0.0,49
1,Structured,Logistic,int_rate,structured,0.130303,0.045742,4
1,Structured,Logistic,mo_sin_old_il_acct,structured,0.0,0.0,48
1,Structured,Logistic,mo_sin_old_rev_tl_op,structured,0.0,0.0,47
1,Structured,Logistic,mo_sin_rcnt_rev_tl_op,structured,0.0,0.0,46
1,Structured,Logistic,mo_sin_rcnt_tl,structured,0.036161,0.012694,28
1,Structured,Logistic,mths_since_last_delinq,structured,0.008899,0.003124,38
1,Structured,Logistic,mths_since_recent_bc_dlq,structured,0.246483,0.086526,2
1,Structured,Logistic,mths_since_recent_inq,structured,0.030737,0.01079,31
1,Structured,Logistic,mths_since_recent_revol_delinq,structured,0.037406,0.013131,27
1,Structured,Logistic,num_actv_bc_tl,structured,0.053218,0.018682,17
1,Structured,Logistic,num_actv_rev_tl,structured,0.046935,0.016476,22
1,Structured,Logistic,num_il_tl,structured,0.046274,0.016244,23
1,Structured,Logistic,num_tl_30dpd,structured,0.049245,0.017287,21
1,Structured,Logistic,open_acc,structured,0.0,0.0,43
1,Structured,Logistic,percent_bc_gt_75,structured,0.0,0.0,42
1,Structured,Logistic,tot_coll_amt,structured,0.008245,0.002894,40
1,Structured,Logistic,total_bc_limit,structured,0.0,0.0,45
1,Structured,Logistic,total_il_high_credit_limit,structured,0.0,0.0,44
1,Structured,Logistic,total_rev_hi_lim,structured,0.035388,0.012423,29
1,Structured,Logistic,addr_state_AL,structured,0.044487,0.015617,24
1,Structured,Logistic,addr_state_AR,structured,0.053124,0.018649,18
1,Structured,Logistic,addr_state_AZ,structured,0.011581,0.004065,36
1,Structured,Logistic,addr_state_CA,structured,0.016945,0.005948,33
1,Structured,Logistic,addr_state_CO,structured,0.067494,0.023693,12
1,Structured,Logistic,addr_state_DC,structured,0.05855,0.020553,14
1,Structured,Logistic,addr_state_DE,structured,0.063958,0.022452,13
1,Structured,Logistic,addr_state_ID,structured,0.055761,0.019575,15
1,Structured,Logistic,addr_state_KS,structured,0.054874,0.019263,16
1,Structured,Logistic,addr_state_LA,structured,0.035337,0.012405,30
1,Structured,Logistic,addr_state_MA,structured,0.230842,0.081036,3
1,Structured,Logistic,addr_state_MD,structured,0.11737,0.041202,5
1,Structured,Logistic,addr_state_MN,structured,0.049632,0.017423,20
1,Structured,Logistic,addr_state_MS,structured,0.020536,0.007209,32
1,Structured,Logistic,addr_state_NE,structured,0.015972,0.005607,34
1,Structured,Logistic,addr_state_NH,structured,0.104737,0.036767,6
1,Structured,Logistic,addr_state_NJ,structured,0.086531,0.030376,9
1,Structured,Logistic,addr_state_NM,structured,0.076437,0.026833,11
1,Structured,Logistic,addr_state_NV,structured,0.094934,0.033326,7
1,Structured,Logistic,addr_state_NY,structured,0.0,0.0,41
1,Structured,Logistic,addr_state_OK,structured,0.052569,0.018454,19
1,Structured,Logistic,addr_state_PA,structured,0.040245,0.014128,26
1,Structured,Logistic,addr_state_RI,structured,0.011503,0.004038,37
1,Structured,Logistic,addr_state_SC,structured,0.008539,0.002997,39
1,Structured,Logistic,addr_state_SD,structured,0.014285,0.005015,35
1,Structured,XGBoost,bc_open_to_buy,structured,10.070038,0.017,28
1,Structured,XGBoost,bc_util,structured,0.0,0.0,50
1,Structured,XGBoost,chargeoff_within_12_mths,structured,14.840732,0.025053,11
1,Structured,XGBoost,delinq_amnt,structured,41.042,0.069285,3
1,Structured,XGBoost,dti,structured,15.8868,0.026819,9
1,Structured,XGBoost,inq_last_6mths,structured,0.0,0.0,49
1,Structured,XGBoost,int_rate,structured,16.165129,0.027289,8
1,Structured,XGBoost,mo_sin_old_il_acct,structured,0.0,0.0,48
1,Structured,XGBoost,mo_sin_old_rev_tl_op,structured,0.0,0.0,47
1,Structured,XGBoost,mo_sin_rcnt_rev_tl_op,structured,0.0,0.0,46
1,Structured,XGBoost,mo_sin_rcnt_tl,structured,12.850386,0.021693,18
1,Structured,XGBoost,mths_since_last_delinq,structured,14.204032,0.023979,14
1,Structured,XGBoost,mths_since_recent_bc_dlq,structured,27.157051,0.045845,4
1,Structured,XGBoost,mths_since_recent_inq,structured,15.629922,0.026386,10
1,Structured,XGBoost,mths_since_recent_revol_delinq,structured,14.216103,0.023999,13
1,Structured,XGBoost,num_actv_bc_tl,structured,10.018928,0.016913,29
1,Structured,XGBoost,num_actv_rev_tl,structured,12.7746,0.021565,19
1,Structured,XGBoost,num_il_tl,structured,9.797225,0.016539,30
1,Structured,XGBoost,num_tl_30dpd,structured,13.683069,0.023099,16
1,Structured,XGBoost,open_acc,structured,0.0,0.0,43
1,Structured,XGBoost,percent_bc_gt_75,structured,0.0,0.0,42
1,Structured,XGBoost,tot_coll_amt,structured,0.0,0.0,45
1,Structured,XGBoost,total_bc_limit,structured,0.0,0.0,44
1,Structured,XGBoost,total_il_high_credit_limit,structured,0.0,0.0,41
1,Structured,XGBoost,total_rev_hi_lim,structured,7.709461,0.013015,37
1,Structured,XGBoost,addr_state_AL,structured,10.852539,0.018321,26
1,Structured,XGBoost,addr_state_AR,structured,9.295258,0.015692,34
1,Structured,XGBoost,addr_state_AZ,structured,12.625659,0.021314,21
1,Structured,XGBoost,addr_state_CA,structured,14.573632,0.024603,12
1,Structured,XGBoost,addr_state_CO,structured,9.319152,0.015732,32
1,Structured,XGBoost,addr_state_DC,structured,18.000696,0.030388,5
1,Structured,XGBoost,addr_state_DE,structured,10.589472,0.017877,27
1,Structured,XGBoost,addr_state_ID,structured,9.580076,0.016173,31
1,Structured,XGBoost,addr_state_KS,structured,11.305717,0.019086,24
1,Structured,XGBoost,addr_state_LA,structured,7.782154,0.013137,35
1,Structured,XGBoost,addr_state_MA,structured,6.816187,0.011507,38
1,Structured,XGBoost,addr_state_MD,structured,17.959408,0.030318,6
1,Structured,XGBoost,addr_state_MN,structured,10.875128,0.018359,25
1,Structured,XGBoost,addr_state_MS,structured,7.771667,0.01312,36
1,Structured,XGBoost,addr_state_NE,structured,9.318443,0.015731,33
1,Structured,XGBoost,addr_state_NH,structured,16.961731,0.028634,7
1,Structured,XGBoost,addr_state_NJ,structured,5.178278,0.008742,39
1,Structured,XGBoost,addr_state_NM,structured,13.03528,0.022006,17
1,Structured,XGBoost,addr_state_NV,structured,13.973799,0.02359,15
1,Structured,XGBoost,addr_state_NY,structured,0.0,0.0,40
1,Structured,XGBoost,addr_state_OK,structured,11.749109,0.019834,22
1,Structured,XGBoost,addr_state_PA,structured,12.636209,0.021332,20
1,Structured,XGBoost,addr_state_RI,structured,11.475351,0.019372,23
1,Structured,XGBoost,addr_state_SC,structured,56.589355,0.095531,1
1,Structured,XGBoost,addr_state_SD,structured,48.053535,0.081122,2
1,Structured,RandomForest,bc_open_to_buy,structured,0.004077,0.004077,18
1,Structured,RandomForest,bc_util,structured,0.0,0.0,50
1,Structured,RandomForest,chargeoff_within_12_mths,structured,0.089981,0.089981,5
1,Structured,RandomForest,delinq_amnt,structured,0.188794,0.188794,1
1,Structured,RandomForest,dti,structured,0.075124,0.075124,7
1,Structured,RandomForest,inq_last_6mths,structured,0.0,0.0,49
1,Structured,RandomForest,int_rate,structured,0.016038,0.016038,10
1,Structured,RandomForest,mo_sin_old_il_acct,structured,0.0,0.0,48
1,Structured,RandomForest,mo_sin_old_rev_tl_op,structured,0.0,0.0,47
1,Structured,RandomForest,mo_sin_rcnt_rev_tl_op,structured,0.0,0.0,46
1,Structured,RandomForest,mo_sin_rcnt_tl,structured,0.054453,0.054453,9
1,Structured,RandomForest,mths_since_last_delinq,structured,0.007694,0.007694,14
1,Structured,RandomForest,mths_since_recent_bc_dlq,structured,0.06604,0.06604,8
1,Structured,RandomForest,mths_since_recent_inq,structured,0.079194,0.079194,6
1,Structured,RandomForest,mths_since_recent_revol_delinq,structured,0.106857,0.106857,3
1,Structured,RandomForest,num_actv_bc_tl,structured,0.0,0.0,45
1,Structured,RandomForest,num_actv_rev_tl,structured,0.000453,0.000453,24
1,Structured,RandomForest,num_il_tl,structured,0.000427,0.000427,26
1,Structured,RandomForest,num_tl_30dpd,structured,0.002328,0.002328,20
1,Structured,RandomForest,open_acc,structured,0.0,0.0,43
1,Structured,RandomForest,percent_bc_gt_75,structured,0.0,0.0,42
1,Structured,RandomForest,tot_coll_amt,structured,0.000243,0.000243,27
1,Structured,RandomForest,total_bc_limit,structured,0.0,0.0,38
1,Structured,RandomForest,total_il_high_credit_limit,structured,0.0,0.0,44
1,Structured,RandomForest,total_rev_hi_lim,structured,0.0,0.0,41
1,Structured,RandomForest,addr_state_AL,structured,0.0,0.0,39
1,Structured,RandomForest,addr_state_AR,structured,8.2e-05,8.2e-05,30
1,Structured,RandomForest,addr_state_AZ,structured,0.0044,0.0044,16
1,Structured,RandomForest,addr_state_CA,structured,0.000614,0.000614,23
1,Structured,RandomForest,addr_state_CO,structured,4.7e-05,4.7e-05,31
1,Structured,RandomForest,addr_state_DC,structured,0.00414,0.00414,17
1,Structured,RandomForest,addr_state_DE,structured,0.0,0.0,40
1,Structured,RandomForest,addr_state_ID,structured,0.0,0.0,35
1,Structured,RandomForest,addr_state_KS,structured,0.001163,0.001163,22
1,Structured,RandomForest,addr_state_LA,structured,0.0,0.0,36
1,Structured,RandomForest,addr_state_MA,structured,0.0,0.0,37
1,Structured,RandomForest,addr_state_MD,structured,0.014782,0.014782,11
1,Structured,RandomForest,addr_state_MN,structured,0.000442,0.000442,25
1,Structured,RandomForest,addr_state_MS,structured,2.2e-05,2.2e-05,32
1,Structured,RandomForest,addr_state_NE,structured,0.000138,0.000138,29
1,Structured,RandomForest,addr_state_NH,structured,0.010391,0.010391,12
