fold,Arm,n_structured_selected,n_finbert_selected
1,Structured,50,0
1,Structured+FinBERT,44,6
2,Structured,50,0
2,Structured+FinBERT,43,7
3,Structured,50,0
3,Structured+FinBERT,43,7
4,Structured,50,0
4,Structured+FinBERT,46,4
5,Structured,50,0
5,Structured+FinBERT,45,5
6,Structured,50,0
6,Structured+FinBERT,45,5
7,Structured,50,0
7,Structured+FinBERT,47,3
8,Structured,50,0
8,Structured+FinBERT,43,7
9,Structured,50,0
9,Structured+FinBERT,41,9
10,Structured,50,0
10,Structured+FinBERT,39,11
11,Structured,50,0
11,Structured+FinBERT,39,11
12,Structured,50,0
12,Structured+FinBERT,41,9
13,Structured,50,0
13,Structured+FinBERT,38,12
14,Structured,50,0
14,Structured+FinBERT,45,5
