Term,Document_Frequency,Category,Reason
hard,2076,Borderline_Excluded,"נפוץ וכללי ביותר - בעיקר 'קשה' או 'עובד קשה', לא מצוקה"
problem,1535,Borderline_Excluded,כללי ביותר - יכול להתייחס לכל דבר
issue,1035,Borderline_Excluded,כללי מאוד (payment issue כביגרם ספציפי יותר)
default,943,Borderline_Excluded,לא דו-משמעות סמנטית אלא חשש לדליפת מידע - המילה חופפת למשתנה המטרה של התזה (חיזוי default)
bite,864,Borderline_Excluded,"לרוב 'little bite' = 'קצת', לא קשור למצוקה"
hospital,611,Borderline_Excluded,"לרוב תיאור מקום עבודה ('אני עובד בבית חולים'), לא צורך רפואי"
difficult,559,Borderline_Excluded,"'difficult time' כביגרם מרמז, אבל המילה הבודדת כללית מדי"
avoid,511,Borderline_Excluded,כנ״ל - תכנון יזום (הימנעות מריבית גבוהה)
worry,494,Borderline_Excluded,נפוץ מאוד ומאוד כללי - לא מבדיל מצוקה
catch,490,Borderline_Excluded,'catch up on payments' אפשרי אבל כללי מדי לבד
mistake,378,Borderline_Excluded,כללי מדי ('make mistake')
damage,370,Borderline_Excluded,פגיעה באשראי מול נזק פיזי לבית (הקשר שיפוצים)
trouble,340,Borderline_Excluded,לרוב 'צרות כלכליות' אבל מילה כללית מאוד
hit,336,Borderline_Excluded,'hit hard times' אפשרי אבל שימוש כללי מדי
concern,313,Borderline_Excluded,כללי מדי
nurse,312,Borderline_Excluded,כנ״ל - מופיע הרבה בהקשר תעסוקתי בקורפוס
grind,272,Borderline_Excluded,"בעיקר 'משאבת גריינדר' (אינסטלציה) בקורפוס הזה, לא 'שגרה מתישה'"
relief,271,Borderline_Excluded,לרוב 'debt/financial relief' אבל גם תחושת הקלה כללית
doctor,266,Borderline_Excluded,"לרוב תיאור מקצוע ('אני רופא'), לא הוצאה רפואית"
loss,239,Borderline_Excluded,"אובדן עבודה/כספי, אבל גם ירידה במשקל, הפסד השקעה וכו'"
fail,227,Borderline_Excluded,פועל כללי מדי
penalty,223,Borderline_Excluded,"קנס על תשלום מאוחר, אבל גם קנס משפטי/ספורט"
procedure,217,Borderline_Excluded,יכול להיות 'הליך רפואי' אבל גם 'הליך הלוואה'
tough,212,Borderline_Excluded,כללי (החלטה קשה מול תקופה קשה)
negative,209,Borderline_Excluded,"כללי (יתרה שלילית, ציון שלילי וכו')"
poor,192,Borderline_Excluded,poor credit / poor health / עני במילולי - אבל גם 'בחירה גרועה'
fell,174,Borderline_Excluded,"כללי מדי (נפילה, לא בהכרח 'נפילה כלכלית')"
restructure,168,Borderline_Excluded,"יכול להיות מחזור הלוואה יזום, לא בהכרח מצוקה"
hole,164,Borderline_Excluded,'debt hole' ניב אפשרי מול חור פיזי (הקשר שיפוצים חזק בקורפוס)
impossible,163,Borderline_Excluded,"כללי, שימושים רבים"
wipe,161,Borderline_Excluded,'wipe out debt' זה בעצם חיובי - סילוק חוב
knock,159,Borderline_Excluded,"'knock out debt' - זה בעצם חיובי/יזום, לא מצוקה"
tight,159,Borderline_Excluded,לרוב 'תקציב הדוק' אבל יכול לתאר כל דבר הדוק
ridiculous,148,Borderline_Excluded,"תלונה על הלוואה/ריבית, לא על מצב אישי"
die,147,Borderline_Excluded,כללי מדי כמילה בודדת
hurt,147,Borderline_Excluded,"'hurt credit' נפוץ, אבל יכול להיות פגיעה פיזית"
hurricane,145,Borderline_Excluded,נזק אסון (מצוקה) מול מימון הגנה מפני סערות (יזום)
dig,144,Borderline_Excluded,'dig out of debt' מול חפירה פיזית (בריכות)
prevent,136,Borderline_Excluded,"פועל תכנון יזום, לא סמן מצוקה"
storm,136,Borderline_Excluded,"כנ״ל, וגם שימוש כללי מדי"
error,118,Borderline_Excluded,כללי מדי
gap,116,Borderline_Excluded,פער תעסוקתי/אשראי/פיזי - כללי מדי
outrageous,113,Borderline_Excluded,"תלונה על ריבית/עמלה, לא אירוע מצוקה אישי"
felt,110,Borderline_Excluded,כללי מדי
