feature,description,var_type,pandas_dtype,missing_pct,enters_model,notes
acc_now_delinq,Number of accounts on which the borrower is currently delinquent,count,float64,0.0,yes,"Numeric feature, passed through as-is"
acc_open_past_24mths,Number of trades opened in the past 24 months,count,float64,17.95,yes,"Numeric feature, passed through as-is"
addr_state,US state provided by the borrower,"categorical (nominal, 49 levels)",object,0.0,yes,One-hot encoded in 03
annual_inc,Self-reported annual income at registration,continuous (amount),float64,0.0,yes,log1p-transformed (capped at q0.995) in 03
avg_cur_bal,Average current balance across all accounts,continuous (amount),float64,27.0,yes,log1p-transformed (capped at q0.995) in 03
bc_open_to_buy,Total open-to-buy (unused limit) on revolving bankcards,continuous (amount),float64,18.63,yes,log1p-transformed (capped at q0.995) in 03
bc_util,Bankcard utilization: total balance / credit limit across bankcards (%),continuous (%),float64,18.67,yes,"Numeric feature, passed through as-is"
chargeoff_within_12_mths,Number of charge-offs within the last 12 months,count,float64,0.0,yes,"Numeric feature, passed through as-is"
collections_12_mths_ex_med,"Collections in the last 12 months, excluding medical",count,float64,0.0,yes,"Numeric feature, passed through as-is"
delinq_2yrs,Number of 30+ days past-due delinquency incidences in the past 2 years,count,float64,0.0,yes,"Numeric feature, passed through as-is"
delinq_amnt,Past-due amount owed on accounts currently delinquent,continuous (amount),float64,0.0,yes,"Numeric feature, passed through as-is"
dti,Debt-to-income ratio: monthly debt payments (excl. mortgage) / monthly income (%),continuous (%),float64,0.0,yes,"Numeric feature, passed through as-is"
earliest_cr_line,Month the borrower's earliest reported credit line was opened,date,object,0.0,not yet,Restored 2026-07-13; date string with no transform in 03 yet (planned: credit-history length vs issue_d)
emp_length,Employment length in years: 0 (<1) to 10 (10+),ordinal (0-10),object,4.08,yes,Converted to numeric years (0-10) in 03
emp_title,Job title supplied by the borrower,free text,object,5.96,via text pipeline,Raw column excluded in v2; enters via cleaned-text stats + TF-IDF (Structured+Text arm only)
funded_amnt,Total amount committed to the loan at funding,continuous (amount),float64,0.0,no (currently),"Kept by the 2026-07-13 multicollinearity rule; 03 replaces it with funded_ratio and drops it, and funded_ratio is in v2 EXCLUDE_COLS"
grade,"LendingClub assigned risk grade, A (best) to G (worst)",ordinal (7 levels),object,0.0,via encoding,Raw string excluded in v2; enters as ordinal grade_ord / sub_grade_ord
home_ownership,Home ownership status: RENT / OWN / MORTGAGE / OTHER / NONE,categorical (nominal),object,0.0,yes,One-hot encoded in 03
