token,category,is_distress,rationale
pay,NEUTRAL_BENIGN,0,generic repayment verb
credit,NEUTRAL_BENIGN,0,generic financial term
card,NEUTRAL_BENIGN,0,generic instrument noun
credit card,DEBT_PRESSURE,1,revolving credit balance context
year,NEUTRAL_BENIGN,0,time reference
debt,DEBT_PRESSURE,1,explicit debt load signal
payment,NEUTRAL_BENIGN,0,routine loan logistics
add,NEUTRAL_BENIGN,0,conversational verb
use,NEUTRAL_BENIGN,0,conversational verb
job,NEUTRAL_BENIGN,0,employment reference typically stable
work,NEUTRAL_BENIGN,0,employment reference
month,NEUTRAL_BENIGN,0,time reference
consolidate,DEBT_PRESSURE,1,multiple debts requiring consolidation
monthly,NEUTRAL_BENIGN,0,payment cadence descriptor
help,NEUTRAL_BENIGN,0,general conversational prose
plan,NEUTRAL_BENIGN,0,planned intent language
money,NEUTRAL_BENIGN,0,generic financial noun
fund,NEUTRAL_BENIGN,0,routine funding logistics
stable,NEUTRAL_BENIGN,0,positive stability signal
good,NEUTRAL_BENIGN,0,positive sentiment
home,NEUTRAL_BENIGN,0,property reference neutral
rate,NEUTRAL_BENIGN,0,generic interest rate mention
company,NEUTRAL_BENIGN,0,employer reference
income,NEUTRAL_BENIGN,0,earnings reference
high,DEBT_PRESSURE,1,usually modifies high interest balances
pay credit,DEBT_PRESSURE,1,paying down card obligations
card debt,DEBT_PRESSURE,1,explicit revolving debt burden
car,NEUTRAL_BENIGN,0,vehicle purchase or loan
expense,NEUTRAL_BENIGN,0,routine cost reference
look,NEUTRAL_BENIGN,0,conversational verb
new,NEUTRAL_BENIGN,0,generic descriptor
rat,NEUTRAL_BENIGN,0,stemmed rate token neutral
currently,NEUTRAL_BENIGN,0,temporal qualifier
current,NEUTRAL_BENIGN,0,temporal qualifier
account,NEUTRAL_BENIGN,0,banking logistics
lower,NEUTRAL_BENIGN,0,rate reduction goal benign
late,LIQUIDITY_SHORTAGE,1,past due payment signal
balance,DEBT_PRESSURE,1,outstanding revolving balance
free,NEUTRAL_BENIGN,0,positive debt-free sentiment
monthly payment,NEUTRAL_BENIGN,0,routine payment logistics
purchase,NEUTRAL_BENIGN,0,planned spending
budget,NEUTRAL_BENIGN,0,planning language
house,NEUTRAL_BENIGN,0,property reference
able,NEUTRAL_BENIGN,0,capability positive phrasing
start,NEUTRAL_BENIGN,0,conversational verb
try,NEUTRAL_BENIGN,0,conversational verb
bank,NEUTRAL_BENIGN,0,institution reference
live,NEUTRAL_BENIGN,0,living situation prose
question,NEUTRAL_BENIGN,0,conversational prose
pay debt,DEBT_PRESSURE,1,debt repayment burden signal
save,NEUTRAL_BENIGN,0,routine savings or cost reduction language
plan use,NEUTRAL_BENIGN,0,describes intended use of funds
lend,NEUTRAL_BENIGN,0,generic lending logistics term
score,NEUTRAL_BENIGN,0,generic credit metric reference
school,NEUTRAL_BENIGN,0,planned education event
great,NEUTRAL_BENIGN,0,positive sentiment word
rent,NEUTRAL_BENIGN,0,routine housing expense mention
financial,NEUTRAL_BENIGN,0,generic descriptor without distress signal
wife,NEUTRAL_BENIGN,0,family conversational prose
consolidate credit,DEBT_PRESSURE,1,signals multiple credit balances needing consolidation
credit score,NEUTRAL_BENIGN,0,routine creditworthiness reference
family,NEUTRAL_BENIGN,0,conversational family reference
history,NEUTRAL_BENIGN,0,generic credit history mention
mortgage,NEUTRAL_BENIGN,0,routine secured obligation
consolidation,DEBT_PRESSURE,1,indicates accumulated debt requiring restructuring
buy,NEUTRAL_BENIGN,0,routine planned purchase
stable job,NEUTRAL_BENIGN,0,stable employment signal
